GameID,Season,Date,Playoffs,Team,Opp,Coach,Location,HackedPlayerID,HackedFTRate,StartQ,StartTime,StartMargin,PlayerRemoved,PlayerRestTime,EndQ,EndTime,EndMargin,NumPoss,FTM,FTA,ReturnMargin,2ndChancePts,Win
21500274,15,2015-12-02 00:00:00,0,NOP,HOU,"('Gentry', 'Alvin')",-1,2730,0.489,4,1:14,-5,0,0,4,0:45,-9,1,2,2,inf,0,0
21500276,15,2015-12-02 00:00:00,0,IND,LAC,"('Vogel', 'Frank')",-1,201599,0.43,2,0:56,-1,1,43,2,0:43,-1,0,0,2,-3,0,1
21500276,15,2015-12-02 00:00:00,0,LAC,IND,"('Rivers', 'Doc')",1,101133,0.587,4,3:13,-6,1,41,4,2:28,-8,2,4,6,-1,0,0
21500294,15,2015-12-05 00:00:00,0,MIN,POR,"('Mitchell', 'Sam')",1,202334,0.559,4,2:25,-6,0,0,4,1:22,-5,2,3,4,inf,0,0
21500311,15,2015-12-07 00:00:00,0,MIN,LAC,"('Mitchell', 'Sam')",1,201599,0.43,2,1:13,8,0,0,2,0:41,7,1,1,2,inf,0,0
21500311,15,2015-12-07 00:00:00,0,MIN,LAC,"('Mitchell', 'Sam')",1,201599,0.43,3,1:02,3,1,56,3,0:56,2,0,1,2,6,0,0
21500318,15,2015-12-08 00:00:00,0,UTA,SAC,"('Snyder', 'Quin')",-1,200765,0.58,2,0:12,-5,0,0,2,0:02,-6,1,1,2,inf,0,0
21500318,15,2015-12-08 00:00:00,0,UTA,SAC,"('Snyder', 'Quin')",-1,200765,0.58,4,1:13,-9,0,0,4,0:46,-9,2,4,4,inf,0,0
21500324,15,2015-12-09 00:00:00,0,MIL,LAC,"('Kidd', 'Jason')",1,201599,0.43,4,5:02,-11,0,0,4,3:45,-13,4,4,8,inf,3,0
21500336,15,2015-12-11 00:00:00,0,BOS,GSW,"('Stevens', 'Brad')",1,203105,0.53,1,0:11,1,0,0,2,11:45,-3,1,2,2,inf,0,0
21500371,15,2015-12-16 00:00:00,0,DAL,IND,"('Carlisle', 'Rick')",-1,101133,0.587,2,1:26,2,0,0,2,1:01,-1,1,1,2,inf,0,0
21500371,15,2015-12-16 00:00:00,0,DAL,IND,"('Carlisle', 'Rick')",-1,101133,0.587,2,0:13,-1,0,0,3,11:46,2,1,0,2,inf,0,0
21500374,15,2015-12-16 00:00:00,0,BOS,DET,"('Stevens', 'Brad')",-1,203083,0.355,3,5:37,-9,1,296,3,4:56,-8,2,3,6,-2,0,0
21500374,15,2015-12-16 00:00:00,0,BOS,DET,"('Stevens', 'Brad')",-1,203083,0.355,4,2:36,-4,1,156,4,2:36,-4,0,0,0,-3,0,0
21500385,15,2015-12-17 00:00:00,0,LAL,HOU,"('Scott', 'Byron')",1,2730,0.489,4,5:21,-15,0,0,4,2:59,-17,4,7,12,inf,4,0
21500391,15,2015-12-18 00:00:00,0,CHI,DET,"('Hoiberg', 'Fred')",1,203083,0.355,2,0:21,-1,0,0,3,11:44,-3,1,2,2,inf,0,0
21500393,15,2015-12-18 00:00:00,0,SAS,LAC,"('Popovich', 'Gregg')",1,201599,0.43,2,0:39,-1,1,25,2,0:29,1,1,0,2,-1,0,1
21500393,15,2015-12-18 00:00:00,0,SAS,LAC,"('Popovich', 'Gregg')",1,201599,0.43,3,2:38,-4,1,34,3,0:34,-2,6,6,12,-3,0,1
21500393,15,2015-12-18 00:00:00,0,SAS,LAC,"('Popovich', 'Gregg')",1,201599,0.43,4,8:57,8,0,0,4,8:19,6,2,2,4,inf,0,1
21500393,15,2015-12-18 00:00:00,0,SAS,LAC,"('Popovich', 'Gregg')",1,201599,0.43,4,4:33,8,0,0,4,4:13,8,0,0,2,inf,0,1
21500401,15,2015-12-19 00:00:00,0,LAC,HOU,"('Rivers', 'Doc')",-1,2730,0.489,2,6:57,-21,0,0,2,5:38,-17,4,4,8,inf,0,0
21500401,15,2015-12-19 00:00:00,0,LAC,HOU,"('Rivers', 'Doc')",-1,203991,0.379,2,5:20,-15,0,0,2,4:48,-17,1,2,2,inf,0,0
21500401,15,2015-12-19 00:00:00,0,LAC,HOU,"('Rivers', 'Doc')",-1,203991,0.379,2,4:34,-14,0,0,2,4:09,-16,1,0,2,inf,0,0
21500401,15,2015-12-19 00:00:00,0,HOU,LAC,"('Bickerstaff', 'J.B.')",1,201599,0.43,2,3:58,16,1,214,2,3:34,18,1,0,2,11,0,1
21500401,15,2015-12-19 00:00:00,0,LAC,HOU,"('Rivers', 'Doc')",-1,2730,0.489,2,2:29,-14,1,135,2,2:15,-14,1,1,2,-11,0,0
21500401,15,2015-12-19 00:00:00,0,LAC,HOU,"('Rivers', 'Doc')",-1,203991,0.379,3,1:11,-13,1,70,3,1:10,-14,0,1,2,-12,0,0
21500401,15,2015-12-19 00:00:00,0,HOU,LAC,"('Bickerstaff', 'J.B.')",1,201599,0.43,3,1:00,14,1,35,3,0:35,12,0,2,2,12,0,1
