MIN,FG3M,FG3A,TEAM_NAME,AST,FG_PCT,OREB,PLUS_MINUS,MATCHUP,TEAM_ABBREVIATION,PTS,FTA,FTM,GAME_ID,SEASON_ID,FGM,WL,PF,FGA,BLK,REB,FT_PCT,DREB,STL,FG3_PCT,GAME_DATE,TOV,VIDEO_AVAILABLE,TEAM_ID
240,11,36,Houston Rockets,18,0.391,16,1,HOU vs. GSW,HOU,97,23,14,41500143,42015,36,W,24,92,4,52,0.609,36,9,0.306,4/21/16,16,1,1610612745
240,6,25,Golden State Warriors,23,0.43,8,-1,GSW @ HOU,GSW,96,29,22,41500143,42015,34,L,23,79,6,43,0.759,35,6,0.24,4/21/16,14,1,1610612744
240,21,40,Golden State Warriors,38,0.517,7,27,GSW @ HOU,GSW,121,16,8,41500144,42015,46,W,26,89,2,43,0.5,36,10,0.525,4/24/16,16,1,1610612744
240,5,27,Houston Rockets,18,0.423,9,-27,HOU vs. GSW,HOU,94,38,23,41500144,42015,33,L,20,78,3,44,0.605,35,11,0.185,4/24/16,18,1,1610612745
240,13,31,Golden State Warriors,30,0.549,6,33,GSW vs. HOU,GSW,114,19,11,41500145,42015,45,W,16,82,6,40,0.579,34,10,0.419,4/27/16,10,0,1610612744
240,6,32,Houston Rockets,17,0.326,22,-33,HOU @ GSW,HOU,81,19,13,41500145,42015,31,L,22,95,3,53,0.684,31,8,0.188,4/27/16,18,0,1610612745
240,10,22,San Antonio Spurs,22,0.519,9,32,SAS vs. MEM,SAS,106,13,12,41500151,42015,42,W,11,81,9,44,0.923,35,13,0.455,4/17/16,13,1,1610612759
240,8,18,Memphis Grizzlies,17,0.392,10,-32,MEM @ SAS,MEM,74,6,4,41500151,42015,31,L,16,79,5,35,0.667,25,7,0.444,4/17/16,17,1,1610612763
240,9,17,San Antonio Spurs,19,0.47,3,26,SAS vs. MEM,SAS,94,28,23,41500152,42015,31,W,18,66,10,44,0.821,41,8,0.529,4/19/16,19,1,1610612759
240,2,15,Memphis Grizzlies,14,0.326,16,-26,MEM @ SAS,MEM,68,18,10,41500152,42015,28,L,24,86,2,44,0.556,28,14,0.133,4/19/16,14,1,1610612763
240,12,26,San Antonio Spurs,24,0.455,7,9,SAS @ MEM,SAS,96,19,14,41500153,42015,35,W,20,77,12,39,0.737,32,10,0.462,4/22/16,11,1,1610612759
240,4,18,Memphis Grizzlies,17,0.415,15,-9,MEM vs. SAS,MEM,87,19,15,41500153,42015,34,L,17,82,4,48,0.789,33,4,0.222,4/22/16,14,1,1610612763
240,10,22,San Antonio Spurs,21,0.494,13,21,SAS @ MEM,SAS,116,31,26,41500154,42015,40,W,21,81,6,41,0.839,28,8,0.455,4/24/16,12,1,1610612759
240,5,13,Memphis Grizzlies,18,0.449,14,-21,MEM vs. SAS,MEM,95,27,20,41500154,42015,35,L,29,78,5,37,0.741,23,6,0.385,4/24/16,17,1,1610612763
240,12,35,Oklahoma City Thunder,23,0.45,14,38,OKC vs. DAL,OKC,108,28,24,41500161,42015,36,W,25,80,6,56,0.857,42,7,0.343,4/16/16,18,1,1610612760
240,4,18,Dallas Mavericks,16,0.298,9,-38,DAL @ OKC,DAL,70,26,16,41500161,42015,25,L,25,84,0,33,0.615,24,5,0.222,4/16/16,13,1,1610612742
240,5,19,Dallas Mavericks,14,0.427,11,1,DAL @ OKC,DAL,85,19,10,41500162,42015,35,W,17,82,4,45,0.526,34,8,0.263,4/18/16,13,1,1610612742
240,7,32,Oklahoma City Thunder,11,0.337,19,-1,OKC vs. DAL,OKC,84,18,15,41500162,42015,31,L,19,92,4,54,0.833,35,9,0.219,4/18/16,15,1,1610612760
240,15,27,Oklahoma City Thunder,28,0.577,9,29,OKC @ DAL,OKC,131,35,26,41500163,42015,45,W,27,78,5,42,0.743,33,10,0.556,4/21/16,14,1,1610612760
240,6,23,Dallas Mavericks,24,0.474,6,-29,DAL vs. OKC,DAL,102,35,24,41500163,42015,36,L,27,76,3,29,0.686,23,9,0.261,4/21/16,12,1,1610612742
240,7,16,Oklahoma City Thunder,26,0.53,12,11,OKC @ DAL,OKC,119,34,24,41500164,42015,44,W,19,83,3,42,0.706,30,6,0.438,4/23/16,9,1,1610612760
240,8,23,Dallas Mavericks,25,0.518,7,-11,DAL vs. OKC,DAL,108,17,14,41500164,42015,43,L,27,83,2,33,0.824,26,3,0.348,4/23/16,12,1,1610612742
240,10,30,Oklahoma City Thunder,19,0.506,14,14,OKC vs. DAL,OKC,118,32,26,41500165,42015,41,W,22,81,5,42,0.813,28,6,0.333,4/25/16,9,1,1610612760
240,8,24,Dallas Mavericks,24,0.469,13,-14,DAL @ OKC,DAL,104,24,20,41500165,42015,38,L,24,81,3,35,0.833,22,5,0.333,4/25/16,9,1,1610612742
240,6,17,LA Clippers,23,0.538,11,20,LAC vs. POR,LAC,115,39,25,41500171,42015,42,W,23,78,7,48,0.641,37,7,0.353,4/17/16,10,1,1610612746
240,10,30,Portland Trail Blazers,23,0.398,10,-20,POR @ LAC,POR,95,26,19,41500171,42015,33,L,28,83,2,40,0.731,30,6,0.333,4/17/16,12,1,1610612757
240,8,21,LA Clippers,20,0.46,12,21,LAC vs. POR,LAC,102,25,14,41500172,42015,40,W,18,87,9,52,0.56,40,7,0.381,4/20/16,10,1,1610612746
240,5,26,Portland Trail Blazers,20,0.341,15,-21,POR @ LAC,POR,81,16,14,41500172,42015,31,L,20,91,3,52,0.875,37,6,0.192,4/20/16,11,1,1610612757
240,6,25,Portland Trail Blazers,15,0.425,16,8,POR vs. LAC,POR,96,23,16,41500173,42015,37,W,24,87,3,56,0.696,40,5,0.24,4/23/16,16,1,1610612757
240,3,18,LA Clippers,15,0.409,11,-8,LAC @ POR,LAC,88,23,13,41500173,42015,36,L,17,88,4,44,0.565,33,11,0.167,4/23/16,10,1,1610612746
240,13,31,Portland Trail Blazers,27,0.409,16,14,POR vs. LAC,POR,98,15,13,41500174,42015,36,W,25,88,7,58,0.867,42,5,0.419,4/25/16,17,1,1610612757
240,7,25,LA Clippers,16,0.357,10,-14,LAC @ POR,LAC,84,28,17,41500174,42015,30,L,17,84,4,42,0.607,32,10,0.28,4/25/16,9,1,1610612746
240,12,34,Portland Trail Blazers,22,0.446,9,10,POR @ LAC,POR,108,34,22,41500175,42015,37,W,23,83,4,53,0.647,44,8,0.353,4/27/16,10,0,1610612757
240,6,20,LA Clippers,20,0.419,8,-10,LAC vs. POR,LAC,98,30,20,41500175,42015,36,L,24,86,3,45,0.667,37,8,0.3,4/27/16,10,0,1610612746
240,14,32,Portland Trail Blazers,21,0.442,18,3,POR vs. LAC,POR,106,24,16,41500176,42015,38,W,23,86,2,46,0.667,28,4,0.438,4/29/16,13,1,1610612757
