,DISPLAY_LAST_COMMA_FIRST,TEAM_CITY,GAMES_PLAYED_FLAG,TEAM_CODE,TO_YEAR,TEAM_NAME,PLAYERCODE,DISPLAY_FIRST_LAST,PERSON_ID,FROM_YEAR,TEAM_ABBREVIATION,ROSTERSTATUS,FT_RATE15,FT_RATE14,FT_RATE13
143,"Crawford, Jamal",LA,Y,clippers,2016,Clippers,jamal_crawford,Jamal Crawford,2037,2000,LAC,1,0.904,0.901,0.866
144,"Crawford, Jordan",Golden State,Y,warriors,2013,Warriors,jordan_crawford,Jordan Crawford,202348,2010,GSW,1,-1,-1,0.873
145,"Crowder, Jae",Boston,Y,celtics,2016,Celtics,jae_crowder,Jae Crowder,203109,2012,BOS,1,0.82,0.909,0.754
146,"Cunningham, Dante",New Orleans,Y,pelicans,2016,Pelicans,dante_cunningham,Dante Cunningham,201967,2009,NOP,1,0.695,0.617,0.567
147,"Cunningham, Jared",,Y,,2015,,jared_cunningham,Jared Cunningham,203099,2012,,0,0.625,0.538,0
148,"Cunningham, Jared",Sacramento,Y,kings,2015,Kings,jared_cunningham,Jared Cunningham,203099,2012,SAC,1,0.625,0.538,0
149,"Curry, Seth",Sacramento,Y,kings,2016,Kings,seth_curry,Seth Curry,203552,2013,SAC,1,0.833,0,0
150,"Curry, Stephen",Golden State,Y,warriors,2016,Warriors,stephen_curry,Stephen Curry,201939,2009,GSW,1,0.908,0.914,0.885
151,"Dalembert, Samuel",New York,Y,knicks,2014,Knicks,samuel_dalembert,Samuel Dalembert,2223,2001,NYK,1,-1,0.7,0.737
152,"Dalembert, Samuel",,Y,,2014,,samuel_dalembert,Samuel Dalembert,2223,2001,,0,-1,0.7,0.737
153,"Daniels, Troy",Charlotte,Y,hornets,2016,Hornets,troy_daniels,Troy Daniels,203584,2013,CHA,1,0.556,0.75,0
154,"Datome, Gigi",Boston,Y,celtics,2014,Celtics,luigi_datome,Gigi Datome,203540,2013,BOS,1,-1,0,0.8
155,"Davies, Brandon",Philadelphia,Y,sixers,2014,76ers,brandon_davies,Brandon Davies,203561,2013,PHI,1,-1,0.636,0.642
156,"Davies, Brandon",,Y,,2014,,brandon_davies,Brandon Davies,203561,2013,,0,-1,0.636,0.642
157,"Davis, Anthony",New Orleans,Y,pelicans,2016,Pelicans,anthony_davis,Anthony Davis,203076,2012,NOP,1,0.758,0.805,0.791
158,"Davis, Ed",Portland,Y,blazers,2016,Trail Blazers,ed_davis,Ed Davis,202334,2010,POR,1,0.559,0.487,0.528
159,"Davis, Glen",Los Angeles,Y,clippers,2014,Clippers,glen_davis,Glen Davis,201175,2007,LAC,1,-1,0.632,0.675
160,"Dawkins, Andre",,Y,,2014,,andre_dawkins,Andre Dawkins,203958,2014,,0,-1,0,-1
161,"Dawson, Branden",LA,Y,clippers,2016,Clippers,branden_dawson,Branden Dawson,1626183,2015,LAC,1,1,-1,-1
